19.3822968,-99.235328,ROBO A NEGOCIO CON VIOLENCIA,12/10/2021,12:30:00 p. m.,CEBADA
19.3893141,-99.211625,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,12/10/2021,10:20:00 p. m.,AUTRIACOS
19.3919218,-99.238815,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,12/10/2021,02:00:00 a. m.,CONSTITUYENTES
19.3621161,-99.249699,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,12/10/2021,04:47:00 a. m.,CAMINO A SANTA FE
19.380738,-99.199886,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,13/10/2021,06:30:00 p. m.,ALTA TENSION
19.3690721,-99.217376,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,12/10/2021,11:00:00 p. m.,CALLE 27 ANTES DE LLEGAR A LA CALLE CHARRERIA
19.3414869,-99.24565,VIOLACION,12/10/2021,10:00:00 p. m.,HALCONES
19.3842281,-99.214325,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,13/10/2021,07:10:00 p. m.,CAPA
19.3290096,-99.285341,ROBO A NEGOCIO CON VIOLENCIA,14/10/2021,04:15:00 p. m.,FRAY BARTOLOME DE LAS CASAS NO. .47
19.3970976,-99.194661,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/10/2021,05:30:00 p. m.,ALCON
19.3415525,-99.231352,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/10/2021,02:00:00 a. m.,CALLEJON BARRANCA
19.3895608,-99.190903,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/10/2021,02:50:00 a. m.,CALLE 10
19.3858777,-99.213177,ROBO A REPARTIDOR CON VIOLENCIA,09/10/2021,12:30:00 p. m.,PERUANOS
19.3807344,-99.241958,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,12/10/2021,11:40:00 a. m.,AVENIDA VASCO DE QUIROGA
19.3985416,-99.192222,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/10/2021,01:00:00 p. m.,CONDOR
19.3859819,-99.197825,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,12/10/2021,12:00:00 p. m.,CENTRAL
19.3832936,-99.234961,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,13/10/2021,06:00:00 p. m.,AV. VASCO DE QUIROGA A LA LATURA DEL ELEKTRA
19.3438319,-99.190601,ROBO A NEGOCIO CON VIOLENCIA,15/10/2021,11:30:00 a. m.,DR GALVEZ
19.3852748,-99.212811,LESIONES INTENCIONALES POR ARMA DE FUEGO,15/10/2021,07:43:00 p. m.,JUJEÑOS
19.3594589,-99.197823,ROBO A NEGOCIO CON VIOLENCIA,15/10/2021,08:20:00 a. m.,CALZADADE LOS LEONES
19.3690094,-99.192786,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,16/10/2021,09:45:00 a. m.,FRANCISCO DE P. MIRANDA
19.3771366,-99.231895,ROBO DE MOTOCICLETA CON VIOLENCIA,16/10/2021,01:30:00 a. m.,JALALPA
19.3728145,-99.263131,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,17/10/2021,12:15:00 p. m.,PROLONGACION PASEO DE LA REFORMA
19.3417611,-99.228549,ROBO A NEGOCIO CON VIOLENCIA,16/10/2021,01:45:00 a. m.,CALZADA DESIERTO DE LOS LEONES RETORNO DE LOS LEONES
19.3975166,-99.205184,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,17/10/2021,01:30:00 a. m.,CUARTA CERRADA ACUEDUCTO
19.3989793,-99.194048,ROBO DE MOTOCICLETA SIN VIOLENCIA,16/10/2021,08:00:00 p. m.,CAMPO FLORIDO
19.3152068,-99.266279,ROBO DE MOTOCICLETA SIN VIOLENCIA,16/10/2021,02:10:00 a. m.,29 DE OCTUBRE
19.3841057,-99.205206,HOMICIDIO POR ARMA DE FUEGO,17/10/2021,12:08:00 a. m.,HUAMAITENOS
19.3750198,-99.21537,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,18/10/2021,12:03:00 a. m.,AGUSTIN LARA
